model_quality,precision@k,recall@k,ndcg@k,ctr,completion_rate,coverage,diversity,novelty
0.15,0.3,0.75,0.7032867981913646,0.2,0.1,0.725,0.6833333333333333,0.4572459388975276
0.3,0.33333333333333337,0.8,0.75,0.2,0.14,0.75,0.6166666666666666,0.4664539538198678
0.5,0.3333333333333333,0.9,0.8630929753571458,0.2,0.1,0.725,0.6555555555555554,0.46075965479105485
0.65,0.16666666666666669,0.4,0.35948701868881106,0.1,0.04,0.725,0.6277777777777778,0.42898361386440986
0.8,0.3,0.5416666666666667,0.5363114380897703,0.22000000000000003,0.08,0.675,0.6222222222222222,0.4311250553124338
0.95,0.3,0.42500000000000004,0.47301735778758625,0.28,0.06,0.825,0.6777777777777778,0.45478970137208014
